1,50,100,150,200,250,300
2,100,150,200,250,300,350
3,150,200,250,300,350,400
4,200,250,300,350,400,450
5,250,300,350,400,450,500
6,300,350,400,450,500,550
7,350,400,450,500,550,600
8,400,450,500,550,600,650
9,450,500,550,600,650,700
10,500,550,600,650,700,750
11,550,600,650,700,750,800
12,600,650,700,750,800,850
13,650,700,750,800,850,900
14,700,750,800,850,900,950
15,750,800,850,900,950,1000
16,773,823,873,923,973,1023
17,723,773,823,873,923,973
18,673,723,773,823,873,923
19,623,673,723,773,823,873
20,573,623,673,723,773,823
21,523,573,623,673,723,773
22,473,523,573,623,673,723
23,423,473,523,573,623,673
24,373,423,473,523,573,623
25,323,373,423,473,523,573
26,273,323,373,423,473,523
27,223,273,323,373,423,473
28,173,223,273,323,373,423
29,123,173,223,273,323,373
30,73,123,173,223,273,323
31,23,73,123,173,223,273
32,0,50,100,150,200,250
33,50,100,150,200,250,300
34,100,150,200,250,300,350
35,150,200,250,300,350,400
36,200,250,300,350,400,450
37,250,300,350,400,450,500
38,300,350,400,450,500,550
39,350,400,450,500,550,600
40,400,450,500,550,600,650
41,450,500,550,600,650,700
42,500,550,600,650,700,750
43,550,600,650,700,750,800
44,600,650,700,750,800,850
45,650,700,750,800,850,900
46,700,750,800,850,900,950
47,750,800,850,900,950,1000
48,773,823,873,923,973,1023
49,723,773,823,873,923,973
50,673,723,773,823,873,923
51,623,673,723,773,823,873
52,573,623,673,723,773,823
53,523,573,623,673,723,773
54,473,523,573,623,673,723
55,423,473,523,573,623,673
56,373,423,473,523,573,623
57,323,373,423,473,523,573
58,273,323,373,423,473,523
59,223,273,323,373,423,473
60,173,223,273,323,373,423
61,123,173,223,273,323,373
62,73,123,173,223,273,323
63,23,73,123,173,223,273
64,0,50,100,150,200,250
65,50,100,150,200,250,300
66,100,150,200,250,300,350
67,150,200,250,300,350,400
68,200,250,300,350,400,450
69,250,300,350,400,450,500
70,300,350,400,450,500,550
71,350,400,450,500,550,600
72,400,450,500,550,600,650
73,450,500,550,600,650,700
74,500,550,600,650,700,750
75,550,600,650,700,750,800
76,600,650,700,750,800,850
77,650,700,750,800,850,900
78,700,750,800,850,900,950
79,750,800,850,900,950,1000
80,773,823,873,923,973,1023
81,723,773,823,873,923,973
82,673,723,773,823,873,923
83,623,673,723,773,823,873
84,573,623,673,723,773,823
85,523,573,623,673,723,773
86,473,523,573,623,673,723
87,423,473,523,573,623,673
88,373,423,473,523,573,623
89,323,373,423,473,523,573
90,273,323,373,423,473,523
